id,value
flare.Actor109765278.Actress109767700,30982
flare.Traveler109629752.Migrant110314952,30968
flare.Artifact100021939.Way104564698,30547
flare.YagoGeoEntity.Way104564698,30547
flare.Musician110339966.Composer109947232,30413
flare.Migrant110314952.Emigrant110051975,30256
flare.GeologicalFormation109287968.NaturalElevation109366317,30155
flare.Animal100015388.Chordate101466257,29844
flare.Chordate101466257.Vertebrate101471682,29774
flare.Action100037396.Change100191142,29671
flare.Organization108008335.Enterprise108056231,29658
flare.Structure104341686.Housing103546340,29174
flare.Part113809207.Substance100019613,29165
flare.Matter100020827.Substance100019613,29165
flare.Publication106589574.Book106410904,29152
flare.Traveler109629752.Absentee109757653,29104
flare.Absentee109757653.Exile110071332,29104
flare.Person100007846.Expert109617867,29099
flare.Athlete109820263.BasketballPlayer109842047,29094
flare.Housing103546340.Dwelling103259505,28464
flare.Dwelling103259505.House103544360,28356
flare.Building102913152.House103544360,28356
flare.Professional110480253.Lawyer110249950,28131
flare.Enterprise108056231.Business108061042,28070
flare.Organism100004475.Plant100017222,27983
flare.Leader109623038.SpiritualLeader109505153,27928
flare.Writer110794014.Journalist110224578,27576
flare.Administrator109770949.Director110014939,27473
flare.SpiritualLeader109505153.Clergyman109927451,27178
flare.Way104564698.Road104096066,27052
flare.Communication100033020.Signal106791372,26977
flare.Invertebrate101905661.Arthropod101767661,26708
flare.School108276720.SecondarySchool108284481,26421
flare.Player110439851.HockeyPlayer110179291,26095
flare.Athlete109820263.HockeyPlayer110179291,26095
flare.Station104306080.BroadcastingStation102903405,26093
flare.Artist109812338.Painter110391653,25960
flare.MilitaryOfficer110317007.CommissionedOfficer109942970,25926
flare.Building102913152.PlaceOfWorship103953416,25557
flare.Associate109816771.Colleague109935990,25217
flare.Substance100019613.Material114580897,24936
flare.Player110439851.Ballplayer109835506,24778
flare.Athlete109820263.Ballplayer109835506,24778
flare.Concept105835747.Property105849040,24443
flare.Property105849040.Feature105849789,24431
flare.NaturalElevation109366317.Mountain109359803,24232
flare.Educator110045713.Academician109759069,24194
flare.Content105809192.Representation105926676,24099
flare.Clergyman109927451.Priest110470779,24095
flare.Activity100407535.Occupation100582388,23992
flare.Aristocrat109807754.MaleAristocrat110285135,23535
flare.Representation105926676.Image105928118,23353
flare.Leader109623038.Trainer110722575,23208
flare.Contest107456188.Game100456199,23106
flare.Executive110069645.Minister110320863,23032
flare.Arthropod101767661.Insect102159955,22905
flare.Cognition100023271.Ability105616246,22520
flare.Trainer110722575.Coach109931640,22443
flare.Change100191142.ChangeOfState100199130,22380
flare.Writer110794014.Poet110444194,22250
flare.Instrumentality103575240.Container103094503,22159
flare.Unit108189659.Team108208560,22134
flare.CommissionedOfficer109942970.CommissionedMilitaryOfficer109943239,21952
flare.Creator109614315.Producer110480018,21837
flare.Producer110480018.FilmMaker110088390,21837
flare.SocialGroup107950920.Gathering107975026,21784
flare.Attribute100024264.State100024720,21691
flare.Music107020895.MusicalComposition107037465,21657
flare.Writing106362953.LiteraryComposition106364329,21616
flare.Unit108189659.MilitaryUnit108198398,21103
flare.Occupation100582388.Career100583246,21036
flare.MusicalComposition107037465.Song107048000,20819
flare.Material114580897.Chemical114806838,20811
flare.Signal106791372.Symbol106806469,20718
flare.GroupAction101080366.Vote100182213,20562
flare.Lawgiver110249270.Legislator110253995,20545
flare.Leader109623038.Lawgiver110249270,20545
flare.Politician110451263.Legislator110253995,20545
flare.EducationalInstitution108276342.University108286569,20526
flare.Person100007846.Ruler110541229,20423
flare.Person100007846.Unfortunate109630641,20343
flare.Person100007846.Disputant109615465,20146
flare.Chemical114806838.Compound114818238,19983
flare.BroadcastingStation102903405.RadioStation104044119,19941
flare.ChangeOfState100199130.Beginning100235435,19802
flare.Disputant109615465.Reformer110515194,19755
flare.Beginning100235435.Introduction100238022,19713
flare.Vote100182213.Election100181781,19650
flare.Athlete109820263.Cricketer109977326,19520
flare.Message106598915.Statement106722453,19428
flare.LiteraryComposition106364329.Fiction106367107,19339
flare.Event100029378.Happening107283608,19067
flare.PlaceOfWorship103953416.Church103028079,18898
flare.Organization108008335.MusicalOrganization108246613,18645
flare.Professional110480253.HealthProfessional110165109,18566
flare.Container103094503.WheeledVehicle104576211,18555
flare.Vehicle104524313.WheeledVehicle104576211,18555
flare.Medium106254669.PrintMedia106263609,18407
flare.PrintMedia106263609.Press106263369,18407
flare.WheeledVehicle104576211.Self-propelledVehicle104170037,18153
flare.Scholar110557854.Historian110177150,18064
flare.Person100007846.Adjudicator109769636,17988
flare.SecondarySchool108284481.SeniorHighSchool108409617,17933
flare.Person100007846.Combatant109939313,17569
flare.Priest110470779.Bishop109857200,17432
flare.Player110439851.SoccerPlayer110618342,17362
flare.Athlete109820263.SoccerPlayer110618342,17362
flare.YagoGeoEntity.Land109334396,17255
flare.Object100002684.Land109334396,17255
flare.CommissionedMilitaryOfficer109943239.GeneralOfficer110125786,17229
flare.Writer110794014.Novelist110363573,17220
flare.GeneralOfficer110125786.General110123844,17151
flare.HealthProfessional110165109.MedicalPractitioner110305802,17118
flare.Ability105616246.Creativity105624700,17024
flare.BasketballPlayer109842047.Forward110105733,16980
flare.Ruler110541229.Sovereign110628644,16918
flare.HeadOfState110164747.Sovereign110628644,16918
flare.MedicalPractitioner110305802.Doctor110020890,16660
flare.FilmMaker110088390.FilmDirector110088200,16618
flare.Symbol106806469.Award106696483,16543
flare.MaleAristocrat110285135.Noble110271677,16491
flare.Person100007846.Authority109824609,16393
flare.Diversion100426928.Game100430606,16231
flare.Game100430606.ComputerGame100458890,16103
flare.Creativity105624700.Imagination105625465,16071
flare.CivilAuthority110541833.Mayor110303814,16068
flare.Politician110451263.Mayor110303814,16068
flare.Authority109824609.CivilAuthority110541833,16068
