id,value
flare.List106481320.List106481320,7
flare.ElectronicEquipment103278248.ElectronicEquipment103278248,7
flare.CityDistrict108537837.CityDistrict108537837,7
flare.Organ105297523.Organ105297523,7
flare.Zoologist110806222.Zoologist110806222,7
flare.Show106619065.Show106619065,7
flare.Protein114728724.Protein114728724,7
flare.Change100191142.Change100191142,7
flare.Linguist110264437.Linguist110264437,7
flare.Document106470073.Document106470073,7
flare.Book106410904.Book106410904,7
flare.Serviceman110582746.Serviceman110582746,7
flare.MusicalInstrument103800933.MusicalInstrument103800933,7
flare.Family108107499.Family108107499,7
flare.Teacher110694258.Teacher110694258,7
flare.Lawman110249459.Lawman110249459,7
flare.Aristocrat109807754.Aristocrat109807754,7
flare.Covering103122748.Covering103122748,7
flare.Arrangement105726596.Arrangement105726596,7
flare.BodyPart105220461.BodyPart105220461,7
flare.Abstraction100002137.Abstraction100002137,7
flare.Relative110235549.Relative110235549,7
flare.Signal106791372.Signal106791372,7
flare.SpeechAct107160883.SpeechAct107160883,7
flare.Painter110391653.Painter110391653,7
flare.Symbol106806469.Symbol106806469,7
flare.Institution108053576.Institution108053576,7
flare.Clergyman109927451.Clergyman109927451,7
flare.TopographicPoint108664443.TopographicPoint108664443,7
flare.Club108227214.Club108227214,7
flare.Region108630039.Region108630039,7
flare.Representation105926676.Representation105926676,6
flare.Shape100027807.Shape100027807,6
flare.Domain108556491.Domain108556491,6
flare.Approval106686736.Approval106686736,6
flare.Representative110522035.Representative110522035,6
flare.SecondarySchool108284481.SecondarySchool108284481,6
flare.MercantileEstablishment103748162.MercantileEstablishment103748162,6
flare.Vertebrate101471682.Vertebrate101471682,6
flare.Microorganism101326291.Microorganism101326291,6
flare.Committee108324514.Committee108324514,6
flare.Race107458453.Race107458453,6
flare.WrittenRecord106502378.WrittenRecord106502378,6
flare.Process100029677.Process100029677,6
flare.SailingVessel104128837.SailingVessel104128837,6
flare.Language106282651.Language106282651,6
flare.MusicalOrganization108246613.MusicalOrganization108246613,6
flare.Meeting108307589.Meeting108307589,6
flare.Way104564698.Way104564698,6
flare.CommissionedMilitaryOfficer109943239.CommissionedMilitaryOfficer109943239,6
flare.Station104306080.Station104306080,6
flare.VisualCommunication106873252.VisualCommunication106873252,6
flare.Idea105833840.Idea105833840,6
flare.PlaceOfWorship103953416.PlaceOfWorship103953416,6
flare.IllHealth114052046.IllHealth114052046,6
flare.Location100027167.Location100027167,6
flare.Music107020895.Music107020895,6
flare.FootballPlayer110101634.FootballPlayer110101634,6
flare.Number113582013.Number113582013,6
flare.ReferenceBook106417598.ReferenceBook106417598,6
flare.Sport100523513.Sport100523513,6
flare.Carnivore102075296.Carnivore102075296,6
flare.Bread107679356.Bread107679356,6
flare.Food100021265.Food100021265,6
flare.ElectricalDevice103269401.ElectricalDevice103269401,6
flare.Airplane102691156.Airplane102691156,6
flare.Belief105941423.Belief105941423,6
flare.Supporter110677713.Supporter110677713,6
flare.Businessperson109882716.Businessperson109882716,6
flare.Primate102469914.Primate102469914,6
flare.Operation100955060.Operation100955060,6
flare.Story106369829.Story106369829,6
flare.ImaginaryBeing109483738.ImaginaryBeing109483738,6
flare.Dancer109989502.Dancer109989502,6
flare.MeasuringInstrument103733925.MeasuringInstrument103733925,6
flare.Work100575741.Work100575741,6
flare.Line108593262.Line108593262,6
flare.Unit108189659.Unit108189659,6
flare.Road104096066.Road104096066,6
flare.Head110162991.Head110162991,6
flare.Polymer114994328.Polymer114994328,6
flare.TaxonomicGroup107992450.TaxonomicGroup107992450,6
flare.Creation103129123.Creation103129123,6
flare.Barrier102796623.Barrier102796623,6
flare.Lizard101674464.Lizard101674464,6
flare.Professional110480253.Professional110480253,6
flare.Firm108059870.Firm108059870,6
flare.Heavier-than-airCraft103510583.Heavier-than-airCraft103510583,5
flare.Alcohol107884567.Alcohol107884567,5
flare.StringedInstrument104338517.StringedInstrument104338517,5
flare.ReligiousPerson109628382.ReligiousPerson109628382,5
flare.Utility108185758.Utility108185758,5
flare.Crime100766234.Crime100766234,5
flare.Herb112205694.Herb112205694,5
flare.Information105816287.Information105816287,5
flare.Governor110140314.Governor110140314,5
flare.Saying107151380.Saying107151380,5
flare.Broadcast106619428.Broadcast106619428,5
flare.Vine113100677.Vine113100677,5
flare.Weaponry104566257.Weaponry104566257,5
flare.Speech107109196.Speech107109196,5
flare.Locomotive103684823.Locomotive103684823,5
flare.Therapist110707233.Therapist110707233,5
flare.Lipid114938907.Lipid114938907,5
flare.Site108651247.Site108651247,5
flare.Excavation103302121.Excavation103302121,5
flare.ChemicalAgent114779550.ChemicalAgent114779550,5
flare.Implement103563967.Implement103563967,5
flare.Lawyer110249950.Lawyer110249950,5
flare.Force108208016.Force108208016,5
flare.WindInstrument104586932.WindInstrument104586932,5
flare.Contestant109613191.Contestant109613191,5
flare.Beverage107881800.Beverage107881800,5
flare.Section106392001.Section106392001,5
flare.UnitOfMeasurement113583724.UnitOfMeasurement113583724,5
flare.PlanOfAction105902545.PlanOfAction105902545,5
flare.Fruit113134947.Fruit113134947,5
flare.Agent109777012.Agent109777012,5
flare.Court108329453.Court108329453,5
flare.Shop104202417.Shop104202417,5
flare.Trader110720453.Trader110720453,5
flare.Bishop109857200.Bishop109857200,5
flare.Rank114429985.Rank114429985,5
flare.Coach109931640.Coach109931640,5
flare.Publication106589574.Publication106589574,5
flare.MythicalMonster109492123.MythicalMonster109492123,5
flare.Supervisor110676877.Supervisor110676877,5
flare.Medium106254669.Medium106254669,5
flare.Agent109777353.Agent109777353,5
flare.Assistant109815790.Assistant109815790,5
flare.ElectronicDevice103277771.ElectronicDevice103277771,5
flare.Computer103082979.Computer103082979,5
flare.NaturalElevation109366317.NaturalElevation109366317,5
flare.Administrator109770949.Administrator109770949,5
flare.Liquor107901587.Liquor107901587,5
flare.Occupation100582388.Occupation100582388,5
flare.Ornithischian101700470.Ornithischian101700470,5
flare.Phenol114989545.Phenol114989545,5
flare.Motion100279835.Motion100279835,5
flare.SomaticCell105430628.SomaticCell105430628,5
flare.Engine103287733.Engine103287733,5
flare.BasicCognitiveProcess105701944.BasicCognitiveProcess105701944,5
flare.Religious110518602.Religious110518602,5
flare.Platform103961939.Platform103961939,5
flare.ColoringMaterial114984973.ColoringMaterial114984973,5
flare.Seabird102021795.Seabird102021795,5
flare.System108435388.System108435388,5
flare.Laborer110241300.Laborer110241300,5
flare.House103544360.House103544360,5
flare.Prince110472799.Prince110472799,5
flare.Writing106359877.Writing106359877,5
flare.Academy108277805.Academy108277805,5
flare.Nutriment107570720.Nutriment107570720,5
flare.CausalAgent100007347.CausalAgent100007347,5
flare.DigitalComputer103196324.DigitalComputer103196324,5
flare.Product104007894.Product104007894,5
flare.Mathematician110301261.Mathematician110301261,5
flare.Diplomat110013927.Diplomat110013927,5
flare.IndefiniteQuantity113576355.IndefiniteQuantity113576355,5
flare.Theropod101712008.Theropod101712008,5
flare.Doctor110020890.Doctor110020890,5
flare.Murderer110338707.Murderer110338707,5
flare.Digit113741022.Digit113741022,5
flare.PositiveIdentification106885389.PositiveIdentification106885389,5
flare.Farmer110078806.Farmer110078806,5
flare.Point108620061.Point108620061,5
flare.Firearm103343853.Firearm103343853,5
flare.Journey100306426.Journey100306426,5
flare.Change107296428.Change107296428,5
flare.SteroidHormone114745635.SteroidHormone114745635,5
flare.Agency108057206.Agency108057206,5
flare.SocialScientist110619642.SocialScientist110619642,5
flare.PhysicalEntity100001930.PhysicalEntity100001930,5
flare.Match107470671.Match107470671,5
flare.Structure105225602.Structure105225602,5
flare.Matter100020827.Matter100020827,5
flare.MilitaryUnit108198398.MilitaryUnit108198398,5
flare.UnpleasantPerson109631463.UnpleasantPerson109631463,5
flare.Game100455599.Game100455599,5
flare.Journalist110224578.Journalist110224578,5
flare.Prisoner110476086.Prisoner110476086,5
flare.Deity109505418.Deity109505418,5
flare.Follower110099375.Follower110099375,4
flare.Mine103768346.Mine103768346,4
flare.Agency108337324.Agency108337324,4
